archetype,archetype_name,period2,n_entry,n_mid_senior,value_entry,value_mid_senior,gap,metric
0,LLM / GenAI / ML engineering,2024,23.0,591.0,5.826086956521739,5.991539763113368,0.1654528065916283,requirement_breadth
0,LLM / GenAI / ML engineering,2026,190.0,1249.0,5.631578947368421,7.212169735788631,1.58059078842021,requirement_breadth
1,Defense & cleared regulated work,2024,100.0,3188.0,4.55,4.956398996235885,0.40639899623588516,requirement_breadth
1,Defense & cleared regulated work,2026,56.0,575.0,5.517857142857143,5.412173913043478,-0.10568322981366496,requirement_breadth
2,DevOps / SRE / platform,2024,26.0,1542.0,6.769230769230769,6.814526588845655,0.0452958196148856,requirement_breadth
2,DevOps / SRE / platform,2026,49.0,967.0,7.142857142857143,7.661840744570838,0.5189836017136944,requirement_breadth
3,JS frontend (React/TypeScript),2024,33.0,1197.0,5.757575757575758,7.059314954051796,1.3017391964760385,requirement_breadth
3,JS frontend (React/TypeScript),2026,75.0,657.0,6.8933333333333335,7.7853881278538815,0.8920547945205479,requirement_breadth
4,Java enterprise (Spring/microservices),2024,50.0,1286.0,6.98,7.840590979782271,0.8605909797822706,requirement_breadth
4,Java enterprise (Spring/microservices),2026,37.0,564.0,7.756756756756757,9.161347517730496,1.404590760973739,requirement_breadth
5,Data engineering (Spark/ETL),2024,26.0,760.0,6.153846153846154,6.957894736842105,0.804048582995951,requirement_breadth
5,Data engineering (Spark/ETL),2026,35.0,485.0,6.3428571428571425,7.402061855670103,1.059204712812961,requirement_breadth
6,Embedded / firmware,2024,22.0,907.0,3.6818181818181817,4.768467475192944,1.0866492933747622,requirement_breadth
6,Embedded / firmware,2026,35.0,379.0,5.314285714285714,5.4986807387862795,0.18439502450056544,requirement_breadth
7,.NET / ASP.NET full-stack,2024,20.0,743.0,6.15,7.2745625841184385,1.1245625841184381,requirement_breadth
7,.NET / ASP.NET full-stack,2026,19.0,160.0,7.578947368421052,8.70625,1.1273026315789485,requirement_breadth
8,Agile/Scrum generalist,2024,26.0,703.0,6.769230769230769,7.480796586059744,0.7115658168289745,requirement_breadth
