spec,archetype,archetype_name,n_2024,n_2026,rate_2024,rate_2026,delta_pp,direction
seniority_final,0,LLM / GenAI / ML engineering,1059.0,2559.0,0.021718602455146365,0.07424775302852676,5.25291505733804,up
seniority_final,1,Defense & cleared regulated work,5676.0,1426.0,0.017618040873854827,0.03927068723702665,2.165264636317182,up
seniority_final,2,DevOps / SRE / platform,2576.0,1943.0,0.010093167701863354,0.025218733916623777,1.5125566214760422,up
seniority_final,3,JS frontend (React/TypeScript),2031.0,1340.0,0.01624815361890694,0.055970149253731345,3.9721995634824405,up
seniority_final,4,Java enterprise (Spring/microservices),2254.0,1146.0,0.022182786157941437,0.03228621291448516,1.0103426756543725,up
seniority_final,5,Data engineering (Spark/ETL),1347.0,947.0,0.019302152932442463,0.03695881731784583,1.765666438540337,up
seniority_final,6,Embedded / firmware,1476.0,723.0,0.014905149051490514,0.048409405255878286,3.3504256204387772,up
seniority_final,7,.NET / ASP.NET full-stack,1250.0,323.0,0.016,0.058823529411764705,4.2823529411764705,up
seniority_final,8,Agile/Scrum generalist,1081.0,434.0,0.024051803885291396,0.08294930875576037,5.889750487046898,up
seniority_final,9,iOS / Swift mobile,229.0,200.0,0.017467248908296942,0.055,3.7532751091703056,up
seniority_final,10,AWS cloud SDE (Amazon template),576.0,307.0,0.006944444444444444,0.019543973941368076,1.2599529496923632,up
seniority_final,11,QA / test automation,293.0,177.0,0.006825938566552901,0.04519774011299435,3.837180154644145,up
seniority_final,12,Azure data platform,160.0,106.0,0.01875,0.018867924528301886,0.011792452830188677,up
seniority_final,13,Amazon program boilerplate,244.0,218.0,0.0778688524590164,0.09174311926605505,1.3874266807038653,up
seniority_final,14,US gov SCI-cleared SWE,261.0,156.0,0.011494252873563218,0.04487179487179487,3.3377541998231655,up
seniority_final,15,GPU / CUDA / systems perf,98.0,103.0,0.030612244897959183,0.019417475728155338,-1.1194769169803844,down
seniority_final,16,Python web backend (Django/Flask),207.0,114.0,0.024154589371980676,0.03508771929824561,1.0933129926264935,up
seniority_final,17,AWS cloud generic template,632.0,94.0,0.0015822784810126582,0.02127659574468085,1.969431726366819,up
seniority_final,18,Android / Kotlin mobile,92.0,82.0,0.010869565217391304,0.04878048780487805,3.791092258748675,up
seniority_final,19,Generic JS/Python boilerplate,101.0,58.0,0.019801980198019802,0.05172413793103448,3.192215773301468,up
yoe_le2_of_all,0,LLM / GenAI / ML engineering,1059.0,2559.0,0.08781869688385269,0.11645173896053146,2.863304207667877,up
yoe_le2_of_all,1,Defense & cleared regulated work,5676.0,1426.0,0.09002818886539816,0.15778401122019636,6.77558223547982,up
yoe_le2_of_all,2,DevOps / SRE / platform,2576.0,1943.0,0.06754658385093168,0.08594956253216675,1.840297868123507,up
