archetype,archetype_name,n_2024,n_2026,value_2024,value_2026,delta,metric,restriction
0,LLM / GenAI / ML engineering,1059.0,2559.0,5.602455146364495,6.64126611957796,1.0388109732134652,requirement_breadth,has_clean_text
1,Defense & cleared regulated work,5676.0,1426.0,4.618569415081043,5.098176718092566,0.4796073030115231,requirement_breadth,has_clean_text
2,DevOps / SRE / platform,2576.0,1943.0,6.361413043478261,7.271744724652599,0.9103316811743385,requirement_breadth,has_clean_text
3,JS frontend (React/TypeScript),2031.0,1340.0,6.639586410635155,7.400746268656716,0.7611598580215615,requirement_breadth,has_clean_text
4,Java enterprise (Spring/microservices),2254.0,1146.0,7.399290150842946,8.636125654450261,1.236835503607315,requirement_breadth,has_clean_text
5,Data engineering (Spark/ETL),1347.0,947.0,6.579064587973274,7.0696937697993665,0.49062918182609216,requirement_breadth,has_clean_text
6,Embedded / firmware,1476.0,723.0,4.4227642276422765,5.254495159059474,0.8317309314171979,requirement_breadth,has_clean_text
7,.NET / ASP.NET full-stack,1250.0,323.0,6.7496,8.421052631578947,1.6714526315789469,requirement_breadth,has_clean_text
8,Agile/Scrum generalist,1081.0,434.0,7.257169287696577,8.018433179723502,0.7612638920269248,requirement_breadth,has_clean_text
9,iOS / Swift mobile,229.0,200.0,5.170305676855895,6.08,0.9096943231441053,requirement_breadth,has_clean_text
10,AWS cloud SDE (Amazon template),576.0,307.0,7.506944444444445,8.599348534201955,1.09240408975751,requirement_breadth,has_clean_text
11,QA / test automation,293.0,177.0,6.48122866894198,7.553672316384181,1.072443647442201,requirement_breadth,has_clean_text
12,Azure data platform,160.0,106.0,7.15,8.254716981132075,1.104716981132075,requirement_breadth,has_clean_text
13,Amazon program boilerplate,244.0,218.0,4.340163934426229,5.4495412844036695,1.1093773499774402,requirement_breadth,has_clean_text
14,US gov SCI-cleared SWE,261.0,156.0,5.743295019157088,6.314102564102564,0.5708075449454757,requirement_breadth,has_clean_text
15,GPU / CUDA / systems perf,98.0,103.0,4.142857142857143,4.844660194174757,0.7018030513176141,requirement_breadth,has_clean_text
16,Python web backend (Django/Flask),207.0,114.0,6.082125603864735,7.473684210526316,1.3915586066615813,requirement_breadth,has_clean_text
17,AWS cloud generic template,632.0,94.0,9.200949367088608,9.361702127659575,0.16075276057096666,requirement_breadth,has_clean_text
18,Android / Kotlin mobile,92.0,82.0,5.065217391304348,5.182926829268292,0.11770943796394473,requirement_breadth,has_clean_text
19,Generic JS/Python boilerplate,101.0,58.0,7.207920792079208,8.172413793103448,0.9644930010242403,requirement_breadth,has_clean_text
0,LLM / GenAI / ML engineering,1059.0,2559.0,4.646836638338055,6.726064869089488,2.0792282307514336,tech_count,all
1,Defense & cleared regulated work,5676.0,1426.0,1.465644820295983,1.8345021037868163,0.36885728349083324,tech_count,all
2,DevOps / SRE / platform,2576.0,1943.0,6.335791925465839,7.497683993823983,1.1618920683581448,tech_count,all
3,JS frontend (React/TypeScript),2031.0,1340.0,6.3052683407188574,6.566417910447761,0.2611495697289037,tech_count,all
