archetype,archetype_name,n_2024,n_2026,rate_2024,rate_2026,w_2024,w_2026,delta_rate,delta_w,within_contrib,between_contrib,interaction_contrib
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.08781869688385269,0.11645173896053146,0.04893037009656702,0.20544315992292872,0.028633042076678772,0.1565127898263617,0.0014010253458024682,0.0137447492482074,0.004481437296636595
1,Defense & cleared regulated work,5676.0,1426.0,0.09002818886539816,0.15778401122019636,0.2622556946818833,0.1144829800899165,0.0677558223547982,-0.1477727145919668,0.01776935026039988,-0.013303709858438166,-0.010012461798779598
2,DevOps / SRE / platform,2576.0,1943.0,0.06754658385093168,0.08594956253216675,0.11902231668437832,0.15598908156711624,0.01840297868123507,0.036966764882737924,0.0021903651565338233,0.002496978683849534,0.0006802985860512552
3,JS frontend (React/TypeScript),2031.0,1340.0,0.06400787789266371,0.09925373134328358,0.09384096474610729,0.10757867694283879,0.03524585345061987,0.013737712196731505,0.0033075048911060828,0.0008793218048129472,0.00048419739083279176
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.07808340727595386,0.09947643979057591,0.10414452709883103,0.09200385356454721,0.021393032514622046,-0.012140673534283816,0.0022279672544452287,-0.0009479851561818775,-0.00025972582366834505
5,Data engineering (Spark/ETL),1347.0,947.0,0.07498144023756496,0.0897571277719113,0.06223721295569006,0.07602761721258831,0.01477568753434634,0.013790404256898252,0.0009195976116418483,0.0010340243726404776,0.0002037627042722482
6,Embedded / firmware,1476.0,723.0,0.08130081300813008,0.14522821576763487,0.0681975696530056,0.05804431599229287,0.06392740275950479,-0.010153253660712722,0.00435969350242707,-0.0008254677772937172,-0.0006490711360877986
7,.NET / ASP.NET full-stack,1250.0,323.0,0.0632,0.09287925696594428,0.057755394353832645,0.025931278098908158,0.02967925696594427,-0.031824116254924484,0.0017141371901968458,-0.002011284147311228,-0.0009445161240439878
8,Agile/Scrum generalist,1081.0,434.0,0.11100832562442182,0.12442396313364056,0.04994686503719448,0.03484264611432242,0.01341563750921873,-0.01510421892287206,0.0006700690360608719,-0.0016766940524927355,-0.00020263272592913373
9,iOS / Swift mobile,229.0,200.0,0.06550218340611354,0.115,0.010580788245622141,0.01605651894669236,0.04949781659388647,0.005475730701070217,0.0005237259160005545,0.00035867231666398804,0.000271036713959087
10,AWS cloud SDE (Amazon template),576.0,307.0,0.06597222222222222,0.09120521172638436,0.026613685718246086,0.02464675658317277,0.02523298950416214,-0.0019669291350733163,0.0006715428523955733,-0.00012976268599442019,-4.963150222073571e-05
11,QA / test automation,293.0,177.0,0.07849829351535836,0.13559322033898305,0.013537864436538373,0.014210019267822735,0.057094926823624687,0.000672154831284362,0.0007729433793523094,5.2763007233926026e-05,3.837663090632644e-05
12,Azure data platform,160.0,106.0,0.08125,0.07547169811320754,0.007392690477290579,0.00850995504174695,-0.0057783018867924585,0.0011172645644563703,-4.271719733340079e-05,9.07777458620801e-05,-6.455891940844599e-06
13,Amazon program boilerplate,244.0,218.0,0.14344262295081966,0.44036697247706424,0.011273852977868133,0.01750160565189467,0.2969243495262446,0.006227752674026537,0.003347481462108011,0.0008933251786513476,0.0018491714117456599
14,US gov SCI-cleared SWE,261.0,156.0,0.0421455938697318,0.07692307692307693,0.012059326341080256,0.012524084778420038,0.034777483053345125,0.0004647584373397816,0.00041939301746167707,1.958752034765363e-05,1.6163128678483417e-05
15,GPU / CUDA / systems perf,98.0,103.0,0.08163265306122448,0.11650485436893204,0.004528022917340479,0.008269107257546563,0.03487220130770756,0.003741084340206084,0.00015790212669941045,0.0003053946400168232,0.0001304598462207789
16,Python web backend (Django/Flask),207.0,114.0,0.04830917874396135,0.06140350877192982,0.009564293304994687,0.009152215799614644,0.013094330027968469,-0.00041207750538004365,0.00012523801301988973,-1.9907125863770223e-05,-5.395878852548244e-06
17,AWS cloud generic template,632.0,94.0,0.01740506329113924,0.09574468085106383,0.029201127385297787,0.007546563904945408,0.0783396175599246,-0.021654563480352378,0.0022876051516828692,-0.00037689904791752556,-0.001696410221477915
18,Android / Kotlin mobile,92.0,82.0,0.06521739130434782,0.0975609756097561,0.004250797024442083,0.006583172768143866,0.03234358430540828,0.0023323757437017836,0.00013748601192522115,0.00015211146154576848,7.543739149830796e-05
19,Generic JS/Python boilerplate,101.0,58.0,0.0891089108910891,0.1896551724137931,0.004666635863789678,0.004656390494540783,0.10054626152270399,-1.0245369248895221e-05,0.0004692127899918266,-9.129536954461088e-07,-1.0301335758960882e-06
