period2,company_name_canonical,n
2024,Capital One,34
2024,Amazon,23
2024,Anduril Industries,22
2024,Palo Alto Networks,22
2024,CyberCoders,18
2024,NVIDIA,13
2024,Infosys,12
2024,Jobs for Humanity,12
2024,ByteDance,11
2024,ClearanceJobs,11
2024,Forward,11
2024,"Conch Technologies, Inc",9
2024,Rivian,9
2024,Stripe,9
2024,Amazon Web Services (AWS),8
2024,DataAnnotation,8
2024,Tesla,8
2024,Harnham,7
2024,Motion Recruitment,7
2024,Selby Jennings,7
2026,Google,82
2026,Jobs via Dice,76
2026,TikTok,49
2026,Microsoft,47
2026,Amazon,41
2026,Anthropic,29
2026,Uber,29
2026,Alignerr,28
2026,OpenAI,26
2026,Amazon Web Services (AWS),25
2026,ByteDance,25
2026,Anduril Industries,23
2026,TikTok USDS Joint Venture,23
2026,DataAnnotation,22
2026,Capital One,20
2026,General Motors,19
2026,Haystack,17
2026,Walmart,17
2026,Adobe,16
2026,NVIDIA,16
