archetype,archetype_name,seniority_3level,mentor_rate_2024,mentor_rate_2026,n_2024,n_2026,delta_mentor_pp
0,LLM / GenAI / ML engineering,entry,0.08695652173913043,0.08421052631578947,23.0,190.0,-0.27459954233409606
0,LLM / GenAI / ML engineering,mid_senior,0.25380710659898476,0.4155324259407526,591.0,1249.0,16.17253193417679
1,Defense & cleared regulated work,entry,0.14,0.10714285714285714,100.0,56.0,-3.285714285714288
1,Defense & cleared regulated work,mid_senior,0.19604767879548307,0.3026086956521739,3188.0,575.0,10.656101685669084
2,DevOps / SRE / platform,entry,0.15384615384615385,0.08163265306122448,26.0,49.0,-7.221350078492937
2,DevOps / SRE / platform,mid_senior,0.245136186770428,0.3784901758014478,1542.0,967.0,13.335398903101977
3,JS frontend (React/TypeScript),entry,0.09090909090909091,0.12,33.0,75.0,2.9090909090909083
3,JS frontend (React/TypeScript),mid_senior,0.29908103592314117,0.4353120243531202,1197.0,657.0,13.623098842997905
4,Java enterprise (Spring/microservices),entry,0.1,0.05405405405405406,50.0,37.0,-4.594594594594595
4,Java enterprise (Spring/microservices),mid_senior,0.2620528771384137,0.4237588652482269,1286.0,564.0,16.170598810981325
5,Data engineering (Spark/ETL),entry,0.07692307692307693,0.11428571428571428,26.0,35.0,3.7362637362637354
5,Data engineering (Spark/ETL),mid_senior,0.24342105263157895,0.35876288659793815,760.0,485.0,11.53418339663592
6,Embedded / firmware,entry,0.045454545454545456,0.08571428571428572,22.0,35.0,4.025974025974026
6,Embedded / firmware,mid_senior,0.18412348401323042,0.2691292875989446,907.0,379.0,8.500580358571419
7,.NET / ASP.NET full-stack,entry,0.15,0.15789473684210525,20.0,19.0,0.789473684210526
7,.NET / ASP.NET full-stack,mid_senior,0.24764468371467024,0.45,743.0,160.0,20.235531628532975
8,Agile/Scrum generalist,entry,0.038461538461538464,0.1111111111111111,26.0,36.0,7.264957264957264
8,Agile/Scrum generalist,mid_senior,0.40540540540540543,0.4482758620689655,703.0,232.0,4.2870456663560095
9,iOS / Swift mobile,entry,0.25,0.0,4.0,11.0,-25.0
9,iOS / Swift mobile,mid_senior,0.42857142857142855,0.5728155339805825,126.0,103.0,14.424410540915394
10,AWS cloud SDE (Amazon template),entry,0.0,0.16666666666666666,4.0,6.0,16.666666666666664
10,AWS cloud SDE (Amazon template),mid_senior,0.3387096774193548,0.58,310.0,150.0,24.129032258064516
11,QA / test automation,entry,0.0,0.0,2.0,8.0,0.0
11,QA / test automation,mid_senior,0.20714285714285716,0.42105263157894735,140.0,57.0,21.390977443609017
12,Azure data platform,entry,0.0,0.0,3.0,2.0,0.0
12,Azure data platform,mid_senior,0.17708333333333334,0.42,96.0,50.0,24.291666666666664
13,Amazon program boilerplate,entry,0.05263157894736842,0.05,19.0,20.0,-0.26315789473684154
13,Amazon program boilerplate,mid_senior,0.15702479338842976,0.1941747572815534,121.0,103.0,3.714996389312364
14,US gov SCI-cleared SWE,entry,0.0,0.0,3.0,7.0,0.0
14,US gov SCI-cleared SWE,mid_senior,0.061224489795918366,0.05172413793103448,147.0,58.0,-0.9500351864883884
15,GPU / CUDA / systems perf,entry,0.0,0.0,3.0,2.0,0.0
15,GPU / CUDA / systems perf,mid_senior,0.11475409836065574,0.21428571428571427,61.0,56.0,9.953161592505854
16,Python web backend (Django/Flask),entry,0.0,0.0,5.0,4.0,0.0
16,Python web backend (Django/Flask),mid_senior,0.1958762886597938,0.3283582089552239,97.0,67.0,13.248192029543008
17,AWS cloud generic template,entry,0.0,0.0,1.0,2.0,0.0
17,AWS cloud generic template,mid_senior,0.7924528301886793,0.8292682926829268,583.0,82.0,3.6815462494247497
18,Android / Kotlin mobile,entry,0.0,0.25,1.0,4.0,25.0
18,Android / Kotlin mobile,mid_senior,0.3114754098360656,0.6451612903225806,61.0,31.0,33.3685880486515
19,Generic JS/Python boilerplate,entry,0.0,0.0,2.0,3.0,0.0
19,Generic JS/Python boilerplate,mid_senior,0.3125,0.5555555555555556,64.0,27.0,24.305555555555557
