archetype,archetype_name,n_2024,n_2026,rate_2024,rate_2026,w_2024,w_2026,delta_rate,delta_w,within_contrib,between_contrib,interaction_contrib
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.021718602455146365,0.07424775302852676,0.04893037009656702,0.20544315992292872,0.052529150573380395,0.1565127898263617,0.002570270778413798,0.0033992390613846258,0.008221483903448793
1,Defense & cleared regulated work,5676.0,1426.0,0.017618040873854827,0.03927068723702665,0.2622556946818833,0.1144829800899165,0.02165264636317182,-0.1477727145919668,0.00567852981367478,-0.002603465725721755,-0.0031996703311857775
2,DevOps / SRE / platform,2576.0,1943.0,0.010093167701863354,0.025218733916623777,0.11902231668437832,0.15598908156711624,0.015125566214760423,0.036966764882737924,0.0018002799320437485,0.00037311175735682686,0.0005591432499793328
3,JS frontend (React/TypeScript),2031.0,1340.0,0.01624815361890694,0.055970149253731345,0.09384096474610729,0.10757867694283879,0.039721995634824404,0.013737712196731505,0.0037275503920125843,0.00022321245814482503,0.0005456893439110428
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.022182786157941437,0.03228621291448516,0.10414452709883103,0.09200385356454721,0.010103426756543726,-0.012140673534283816,0.0010522166016379226,-0.000269313964824397,-0.0001226624058287454
5,Data engineering (Spark/ETL),1347.0,947.0,0.019302152932442463,0.03695881731784583,0.06223721295569006,0.07602761721258831,0.017656664385403368,0.013790404256898252,0.0010989015814414978,0.00026618449196685564,0.00024349253970309037
6,Embedded / firmware,1476.0,723.0,0.014905149051490514,0.048409405255878286,0.0681975696530056,0.05804431599229287,0.033504256204387774,-0.010153253660712722,0.00228490884617088,-0.0001513357591705148,-0.0003401772119566571
7,.NET / ASP.NET full-stack,1250.0,323.0,0.016,0.058823529411764705,0.057755394353832645,0.025931278098908158,0.042823529411764705,-0.031824116254924484,0.0024732898287994215,-0.0005091858600787917,-0.0013628209784461779
8,Agile/Scrum generalist,1081.0,434.0,0.024051803885291396,0.08294930875576037,0.04994686503719448,0.03484264611432242,0.05889750487046898,-0.01510421892287206,0.0029417457267928186,-0.00036328371137342604,-0.0008896008075744868
9,iOS / Swift mobile,229.0,200.0,0.017467248908296942,0.055,0.010580788245622141,0.01605651894669236,0.03753275109170306,0.005475730701070217,0.0003971260915769533,9.56459511103968e-05,0.00020551923744846514
10,AWS cloud SDE (Amazon template),576.0,307.0,0.006944444444444444,0.019543973941368076,0.026613685718246086,0.02464675658317277,0.012599529496923632,-0.0019669291350733163,0.0003353199182288968,-1.3659230104675806e-05,-2.4782381655714737e-05
11,QA / test automation,293.0,177.0,0.006825938566552901,0.04519774011299435,0.013537864436538373,0.014210019267822735,0.03837180154644145,0.000672154831284362,0.0005194722475214779,4.588087585558785e-06,2.5791791794525373e-05
12,Azure data platform,160.0,106.0,0.01875,0.018867924528301886,0.007392690477290579,0.00850995504174695,0.00011792452830188677,0.0011172645644563703,8.717795374163416e-07,2.094871058355694e-05,1.3175289675193044e-07
13,Amazon program boilerplate,244.0,218.0,0.0778688524590164,0.09174311926605505,0.011273852977868133,0.01750160565189467,0.013874266807038654,0.006227752674026537,0.00015641644415826972,0.0004849479541250173,8.640550220769261e-05
14,US gov SCI-cleared SWE,261.0,156.0,0.011494252873563218,0.04487179487179487,0.012059326341080256,0.012524084778420038,0.033377541998231654,0.0004647584373397816,0.0004025106714197875,5.342051003905535e-06,1.5512494261341073e-05
15,GPU / CUDA / systems perf,98.0,103.0,0.030612244897959183,0.019417475728155338,0.004528022917340479,0.008269107257546563,-0.011194769169803845,0.003741084340206084,-5.069017135520846e-05,0.0001145229900063087,-4.188057563337503e-05
16,Python web backend (Django/Flask),207.0,114.0,0.024154589371980676,0.03508771929824561,0.009564293304994687,0.009152215799614644,0.010933129926264936,-0.00041207750538004365,0.00010456766135641278,-9.953562931885112e-06,-4.505296906011156e-06
17,AWS cloud generic template,632.0,94.0,0.0015822784810126582,0.02127659574468085,0.029201127385297787,0.007546563904945408,0.01969431726366819,-0.021654563480352378,0.0005750962671828442,-3.426354981068414e-05,-0.00042647184338830255
18,Android / Kotlin mobile,92.0,82.0,0.010869565217391304,0.04878048780487805,0.004250797024442083,0.006583172768143866,0.037910922587486746,0.0023323757437017836,0.0001611516369287428,2.535191025762808e-05,8.842251626441014e-05
19,Generic JS/Python boilerplate,101.0,58.0,0.019801980198019802,0.05172413793103448,0.004666635863789678,0.004656390494540783,0.03192215773301468,-1.0245369248895221e-05,0.00014896908612643732,-2.0287859898802417e-07,-3.2705429319621144e-07
