source_a,source_b,n_companies_a,n_companies_b,intersection,union,jaccard
arshkon,asaniczka,2298,4948,742,6504,0.11408364083640836
arshkon,scraped_linkedin,2298,7940,1004,9234,0.10872861165258826
asaniczka,scraped_linkedin,4948,7940,1529,11359,0.13460691962320626
