source,total_swe,multi_location,state_known,state_excluded,state_excluded_share
arshkon,4691,116,3516,1175,0.2504796418674057
asaniczka,18129,894,16600,1529,0.08434000772243366
scraped_linkedin,40881,3090,35624,5257,0.12859274479587093
