metric,source_a,source_b,n,columns,chi2,dof,p_value,cramers_v
state_normalized,arshkon,asaniczka,20116,51,375.9482853822691,50,1.616057032837733e-51,0.13670778311755677
state_normalized,arshkon,scraped_linkedin,39140,47,2882.0907221060024,46,0.0,0.2713584894437687
state_normalized,asaniczka,scraped_linkedin,52224,51,6240.364772524974,50,0.0,0.34567655240942374
