source,n_swe_linkedin,description_length_known,company_known,title_known,seniority_known,yoe_known
arshkon,4691,4691,4646,4691,2267,2911
asaniczka,18129,18129,18129,18129,11746,12834
scraped_linkedin,40881,40881,40881,40881,19040,27581
