source,state_normalized,n,share_of_state_known
arshkon,AK,1,0.0002844141069397042
arshkon,AL,17,0.004835039817974972
arshkon,AR,13,0.003697383390216155
arshkon,AZ,85,0.02417519908987486
arshkon,CA,562,0.15984072810011377
arshkon,CO,81,0.02303754266211604
arshkon,CT,27,0.007679180887372013
arshkon,DC,30,0.008532423208191127
arshkon,DE,15,0.004266211604095563
arshkon,FL,135,0.03839590443686007
arshkon,GA,150,0.042662116040955635
arshkon,HI,0,0.0
arshkon,IA,15,0.004266211604095563
arshkon,ID,13,0.003697383390216155
arshkon,IL,156,0.04436860068259386
arshkon,IN,31,0.00881683731513083
arshkon,KS,17,0.004835039817974972
arshkon,KY,14,0.003981797497155859
arshkon,LA,4,0.0011376564277588168
arshkon,MA,115,0.03270762229806599
arshkon,MD,74,0.02104664391353811
arshkon,ME,11,0.0031285551763367463
arshkon,MI,85,0.02417519908987486
arshkon,MN,59,0.01678043230944255
arshkon,MO,26,0.00739476678043231
arshkon,MS,6,0.0017064846416382253
arshkon,MT,3,0.0008532423208191126
arshkon,NC,140,0.03981797497155859
arshkon,ND,3,0.0008532423208191126
arshkon,NE,11,0.0031285551763367463
arshkon,NH,17,0.004835039817974972
arshkon,NJ,148,0.04209328782707622
arshkon,NM,11,0.0031285551763367463
arshkon,NV,19,0.00540386803185438
arshkon,NY,235,0.0668373151308305
arshkon,OH,104,0.02957906712172924
arshkon,OK,10,0.002844141069397042
arshkon,OR,12,0.0034129692832764505
arshkon,PA,126,0.03583617747440273
arshkon,RI,10,0.002844141069397042
arshkon,SC,10,0.002844141069397042
arshkon,SD,0,0.0
arshkon,TN,23,0.006541524459613196
arshkon,TX,430,0.1222980659840728
arshkon,UT,17,0.004835039817974972
arshkon,VA,215,0.0611490329920364
arshkon,VT,0,0.0
arshkon,WA,179,0.05091012514220705
arshkon,WI,45,0.012798634812286689
arshkon,WV,6,0.0017064846416382253
arshkon,WY,0,0.0
asaniczka,AK,7,0.0004216867469879518
asaniczka,AL,191,0.011506024096385542
asaniczka,AR,129,0.007771084337349398
asaniczka,AZ,341,0.020542168674698796
asaniczka,CA,2589,0.15596385542168675
asaniczka,CO,497,0.029939759036144577
asaniczka,CT,235,0.014156626506024096
asaniczka,DC,194,0.011686746987951807
asaniczka,DE,101,0.00608433734939759
asaniczka,FL,777,0.04680722891566265
asaniczka,GA,532,0.03204819277108434
asaniczka,HI,32,0.0019277108433734939
asaniczka,IA,175,0.010542168674698794
asaniczka,ID,32,0.0019277108433734939
asaniczka,IL,631,0.038012048192771083
asaniczka,IN,189,0.0113855421686747
asaniczka,KS,80,0.004819277108433735
asaniczka,KY,57,0.003433734939759036
asaniczka,LA,56,0.0033734939759036144
asaniczka,MA,675,0.04066265060240964
asaniczka,MD,958,0.05771084337349398
asaniczka,ME,43,0.0025903614457831324
asaniczka,MI,431,0.025963855421686746
asaniczka,MN,229,0.013795180722891567
asaniczka,MO,235,0.014156626506024096
asaniczka,MS,37,0.0022289156626506025
asaniczka,MT,13,0.0007831325301204819
asaniczka,NC,480,0.02891566265060241
asaniczka,ND,5,0.00030120481927710846
asaniczka,NE,71,0.004277108433734939
asaniczka,NH,101,0.00608433734939759
asaniczka,NJ,594,0.035783132530120484
asaniczka,NM,62,0.0037349397590361448
asaniczka,NV,87,0.005240963855421687
asaniczka,NY,770,0.0463855421686747
asaniczka,OH,472,0.028433734939759037
asaniczka,OK,93,0.0056024096385542165
asaniczka,OR,114,0.006867469879518072
asaniczka,PA,563,0.03391566265060241
asaniczka,RI,73,0.004397590361445783
asaniczka,SC,118,0.007108433734939759
asaniczka,SD,14,0.0008433734939759036
asaniczka,TN,173,0.010421686746987952
asaniczka,TX,1218,0.07337349397590362
asaniczka,UT,252,0.015180722891566266
asaniczka,VA,1007,0.06066265060240964
asaniczka,VT,12,0.0007228915662650603
asaniczka,WA,627,0.037771084337349395
asaniczka,WI,209,0.012590361445783132
