title_normalized,seniority_native,arshkon_yoe_known_n,scraped_yoe_known_n,arshkon_yoe_mean,scraped_yoe_mean,arshkon_yoe_median,scraped_yoe_median,ks_stat,p_value
java developer,entry,11,8,5.454545454545454,1.875,5.0,2.0,0.9090909090909091,0.00023815194093831867
quality assurance engineer,entry,5,5,3.8,2.0,3.0,1.0,0.8,0.07936507936507936
software development engineer,null,5,16,1.8,4.5,2.0,5.0,0.8,0.006781660032434025
software developer,entry,6,27,3.8333333333333335,1.962962962962963,3.0,2.0,0.6851851851851852,0.009745677014865
cloud engineer,entry,5,5,4.2,2.0,3.0,2.0,0.6,0.35714285714285715
embedded software engineer,null,6,15,6.333333333333333,3.8,6.0,4.0,0.6,0.0659000442282176
data engineer,entry,15,53,3.8,2.188679245283019,3.0,2.0,0.5345911949685535,0.0013536039188882763
full stack engineer,null,12,17,4.666666666666667,6.470588235294118,3.0,7.0,0.5245098039215687,0.02599533084816759
systems engineer,entry,15,14,3.8666666666666667,3.0,3.0,2.0,0.5190476190476191,0.026248485664288602
java software engineer,null,6,5,6.0,4.4,5.5,5.0,0.5,0.35714285714285715
developer,null,6,16,4.333333333333333,5.375,3.5,5.0,0.4791666666666667,0.20141262246525402
software development engineer,entry,5,16,3.2,2.125,3.0,2.0,0.4125,0.43653250773993807
java software engineer,mid-senior,9,72,5.111111111111111,6.75,5.0,7.0,0.4027777777777778,0.11924270026046926
test engineer,mid-senior,10,145,6.5,4.662068965517242,6.0,5.0,0.38620689655172413,0.0930283539341684
cloud engineer,null,5,21,5.8,4.285714285714286,5.0,4.0,0.37142857142857144,0.5212830647613257
test engineer,entry,7,32,2.7142857142857144,1.90625,2.0,2.0,0.36607142857142855,0.3406783995019289
devops engineer,null,11,42,5.818181818181818,4.119047619047619,5.0,4.0,0.341991341991342,0.20185738114847948
software engineer,entry,38,253,3.0,2.039525691699605,2.0,2.0,0.3353442895776992,0.0008015844240533086
data engineer,associate,6,39,3.1666666666666665,5.102564102564102,3.0,4.0,0.3333333333333333,0.5199643710420794
system engineer,associate,8,10,3.0,4.8,2.5,3.0,0.275,0.8227067050596463
site reliability engineer,null,7,45,6.428571428571429,4.7555555555555555,5.0,5.0,0.273015873015873,0.6521199905280548
embedded software engineer,mid-senior,16,181,6.875,5.69060773480663,6.5,5.0,0.23756906077348067,0.32240249195659704
android developer,mid-senior,6,64,4.666666666666667,5.75,5.0,5.0,0.234375,0.8662206976517777
software developer,mid-senior,11,111,5.181818181818182,4.837837837837838,4.0,5.0,0.22194922194922195,0.627519842785999
systems engineer,mid-senior,18,121,5.555555555555555,6.768595041322314,5.0,6.0,0.21487603305785125,0.40183088969043584
software engineer,associate,14,113,3.357142857142857,4.584070796460177,3.0,4.0,0.21238938053097345,0.5457159948019592
test engineer,associate,5,15,3.8,3.4,3.0,3.0,0.2,0.9979360165118678
cloud engineer,mid-senior,11,142,4.636363636363637,5.52112676056338,5.0,5.0,0.18309859154929578,0.8231026430957181
system engineer,mid-senior,19,86,5.7894736842105265,6.127906976744186,5.0,5.0,0.18298653610771115,0.6047441896651468
developer,mid-senior,7,56,6.142857142857143,6.321428571428571,7.0,6.0,0.14285714285714285,0.9985115007117376
software development engineer,mid-senior,12,141,5.666666666666667,5.212765957446808,5.0,5.0,0.1400709219858156,0.9596809397095969
machine learning engineer,mid-senior,14,203,4.571428571428571,4.847290640394089,5.0,5.0,0.1330049261083744,0.9520881346613054
software engineer,null,62,526,4.967741935483871,4.52851711026616,5.0,4.0,0.132037286888262,0.26238994163493473
data engineer,null,19,99,4.7894736842105265,4.656565656565657,4.0,5.0,0.12440191387559808,0.9355818040824434
site reliability engineer,mid-senior,13,174,5.153846153846154,5.212643678160919,5.0,5.0,0.12024756852343059,0.9850087914947738
data engineer,mid-senior,60,686,5.083333333333333,5.450437317784257,5.0,5.0,0.11909620991253644,0.3819733497243809
devops engineer,mid-senior,34,336,5.735294117647059,5.4226190476190474,5.0,5.0,0.11624649859943978,0.7523774896242371
full stack engineer,mid-senior,19,206,5.105263157894737,5.344660194174757,5.0,5.0,0.11113949923352069,0.9648925214972757
java developer,mid-senior,21,87,5.9523809523809526,6.114942528735632,5.0,6.0,0.08538587848932677,0.9983587840397552
software engineer,mid-senior,170,1911,5.3,5.508110936682365,5.0,5.0,0.036380706128605285,0.9808146302449688
