source_a,source_b,n_titles_a,n_titles_b,intersection,union,jaccard
arshkon,asaniczka,2162,7577,449,9290,0.04833153928955867
arshkon,scraped_linkedin,2162,18321,517,19966,0.025894019833717318
asaniczka,scraped_linkedin,7577,18321,927,24971,0.03712306275279324
