source,q10,q25,q50,q75,q90,q99
arshkon,816.0,1534.0,2974.0,4749.5,6218.0,9156.2
asaniczka,1255.0,2288.0,3733.0,5250.0,6580.0,9513.24000000002
scraped_linkedin,1839.0,3171.0,4862.0,6455.0,7921.0,10846.399999999994
