source_a,source_b,n_a,n_b,mean_a,mean_b,median_a,median_b,ks_stat,p_value
arshkon,asaniczka,4691,18129,3305.6418674056704,3881.4461911853937,2974.0,3733.0,0.14390166148500233,8.234407414848662e-68
arshkon,scraped_linkedin,4691,40881,3305.6418674056704,4912.017049485091,2974.0,4862.0,0.29568552774366497,0.0
asaniczka,scraped_linkedin,18129,40881,3881.4461911853937,4912.017049485091,3733.0,4862.0,0.1980185156011331,0.0
