source,metric,class,n,correct,accuracy
kaggle_arshkon,seniority_imputed_vs_native,associate,258,7,0.027131782945736434
kaggle_arshkon,seniority_imputed_vs_native,director,25,4,0.16
kaggle_arshkon,seniority_imputed_vs_native,entry,715,24,0.033566433566433566
kaggle_arshkon,seniority_imputed_vs_native,executive,10,0,0.0
kaggle_arshkon,seniority_imputed_vs_native,intern,18,0,0.0
kaggle_arshkon,seniority_imputed_vs_native,mid-senior,2171,1324,0.6098572086596039
kaggle_arshkon,seniority_imputed_vs_native,__overall__,3197,1359,0.42508601814200814
kaggle_arshkon,seniority_final_vs_native,associate,258,188,0.7286821705426356
kaggle_arshkon,seniority_final_vs_native,director,25,10,0.4
kaggle_arshkon,seniority_final_vs_native,entry,715,703,0.9832167832167832
kaggle_arshkon,seniority_final_vs_native,executive,10,0,0.0
kaggle_arshkon,seniority_final_vs_native,intern,18,0,0.0
kaggle_arshkon,seniority_final_vs_native,mid-senior,2171,2158,0.9940119760479041
kaggle_arshkon,seniority_final_vs_native,__overall__,3197,3059,0.9568345323741008
scraped,seniority_imputed_vs_native,associate,161,7,0.043478260869565216
scraped,seniority_imputed_vs_native,director,43,7,0.16279069767441862
scraped,seniority_imputed_vs_native,entry,490,63,0.12857142857142856
scraped,seniority_imputed_vs_native,executive,6,0,0.0
scraped,seniority_imputed_vs_native,intern,67,0,0.0
scraped,seniority_imputed_vs_native,mid-senior,2844,1580,0.5555555555555556
scraped,seniority_imputed_vs_native,__overall__,3611,1657,0.458875657712545
scraped,seniority_final_vs_native,associate,161,103,0.639751552795031
scraped,seniority_final_vs_native,director,43,9,0.20930232558139536
scraped,seniority_final_vs_native,entry,490,477,0.9734693877551021
scraped,seniority_final_vs_native,executive,6,0,0.0
scraped,seniority_final_vs_native,intern,67,0,0.0
scraped,seniority_final_vs_native,mid-senior,2844,2831,0.9954289732770746
scraped,seniority_final_vs_native,__overall__,3611,3420,0.9471060648019939
