variant,period,entry_n,denom_n,entry_share
final_all_nonunknown,2024-01,121,22043,0.005489270970376083
final_all_nonunknown,2024-04,773,3786,0.20417326994189117
final_all_nonunknown,2026-03,561,4054,0.13838184509126789
native_only_nonunknown,2024-01,0,22043,0.0
native_only_nonunknown,2024-04,715,3197,0.22364716922114483
native_only_nonunknown,2026-03,490,3611,0.13569648296870673
high_confidence,2024-01,121,22043,0.005489270970376083
high_confidence,2024-04,772,3597,0.21462329719210455
high_confidence,2026-03,560,3952,0.1417004048582996
incl_weak_signals,2024-01,121,22043,0.005489270970376083
incl_weak_signals,2024-04,773,3786,0.20417326994189117
incl_weak_signals,2026-03,561,4054,0.13838184509126789
