source,period,swe_n,native_n,final_n,native_backfill_n,title_keyword_n,weak_or_prior_n
kaggle_asaniczka,2024-01,22043,22043,22043,8013,14030,0
kaggle_arshkon,2024-04,4639,3197,3786,1820,1777,189
scraped,2026-03,4318,3611,4054,1982,1970,102
